time,status,down rate,up rate,down SNR mrg,FEC,CRC
19/10 18:02:15,up,9565 kbps,812 kbps,12.2 dB,0,0
19/10 18:02:20,up,9565 kbps,812 kbps,12.1 dB,0,0
19/10 18:02:26,up,9565 kbps,812 kbps,12.1 dB,0,0
19/10 18:02:31,up,9565 kbps,812 kbps,12.0 dB,0,0
19/10 18:02:37,up,9565 kbps,812 kbps,11.9 dB,0,0
19/10 18:02:43,up,9565 kbps,812 kbps,11.9 dB,0,0
19/10 18:02:48,up,9565 kbps,812 kbps,11.8 dB,0,0
19/10 18:02:54,up,9565 kbps,812 kbps,11.7 dB,0,0
19/10 18:02:59,up,9565 kbps,812 kbps,11.8 dB,0,0
19/10 18:03:05,up,9565 kbps,812 kbps,11.7 dB,0,0
19/10 18:03:11,up,9565 kbps,812 kbps,11.7 dB,0,0
19/10 18:03:16,up,9565 kbps,812 kbps,11.6 dB,0,0
19/10 18:03:22,up,9565 kbps,812 kbps,11.5 dB,0,0
19/10 18:03:29,up,9565 kbps,812 kbps,11.6 dB,0,0
19/10 18:03:34,up,9565 kbps,812 kbps,11.4 dB,0,0
19/10 18:03:40,up,9565 kbps,812 kbps,11.5 dB,0,0
19/10 18:03:45,up,9565 kbps,812 kbps,11.3 dB,0,0
19/10 18:03:51,up,9565 kbps,812 kbps,11.3 dB,0,0
19/10 18:03:57,up,9565 kbps,812 kbps,11.3 dB,0,0
19/10 18:04:02,up,9565 kbps,812 kbps,11.2 dB,0,0
19/10 18:04:08,up,9565 kbps,812 kbps,11.0 dB,0,0
19/10 18:04:13,up,9565 kbps,812 kbps,11.0 dB,0,0
19/10 18:04:19,up,9565 kbps,812 kbps,11.2 dB,0,0
19/10 18:04:25,up,9565 kbps,812 kbps,11.1 dB,0,0
19/10 18:04:30,up,9565 kbps,812 kbps,11.0 dB,0,0
19/10 18:04:36,up,9565 kbps,812 kbps,11.1 dB,0,0
19/10 18:04:41,up,9565 kbps,812 kbps,11.1 dB,0,0
19/10 18:04:47,up,9565 kbps,812 kbps,11.1 dB,0,0
19/10 18:04:53,up,9565 kbps,812 kbps,11.1 dB,0,0
19/10 18:04:58,up,9565 kbps,812 kbps,11.1 dB,0,0
19/10 18:05:04,up,9565 kbps,812 kbps,11.1 dB,0,0
19/10 18:05:09,up,9565 kbps,812 kbps,11.0 dB,0,0
19/10 18:05:15,up,9565 kbps,812 kbps,11.0 dB,0,0
19/10 18:05:21,up,9565 kbps,812 kbps,11.1 dB,0,0
19/10 18:05:27,up,9565 kbps,812 kbps,11.1 dB,0,0
19/10 18:05:32,up,9565 kbps,812 kbps,11.2 dB,0,0
19/10 18:05:38,up,9565 kbps,812 kbps,11.1 dB,0,0
19/10 18:05:43,up,9565 kbps,812 kbps,11.0 dB,0,0
19/10 18:05:49,up,9565 kbps,812 kbps,10.8 dB,0,0
19/10 18:05:55,up,9565 kbps,812 kbps,10.5 dB,2,0
19/10 18:06:01,up,9565 kbps,812 kbps,10.6 dB,2,0
19/10 18:06:06,up,9565 kbps,812 kbps,10.5 dB,2,0
19/10 18:06:12,up,9565 kbps,812 kbps,10.6 dB,2,0
19/10 18:06:17,up,9565 kbps,812 kbps,10.7 dB,2,0
19/10 18:06:23,up,9565 kbps,812 kbps,10.6 dB,2,0
19/10 18:06:28,up,9565 kbps,812 kbps,10.6 dB,2,0
19/10 18:06:34,up,9565 kbps,812 kbps,10.6 dB,2,0
19/10 18:06:40,up,9565 kbps,812 kbps,10.7 dB,2,0
19/10 18:06:45,up,9565 kbps,812 kbps,10.6 dB,2,0
19/10 18:06:51,up,9565 kbps,812 kbps,10.5 dB,2,0
19/10 18:06:56,up,9565 kbps,812 kbps,10.6 dB,2,0
19/10 18:07:02,up,9565 kbps,812 kbps,10.5 dB,2,0
19/10 18:07:08,up,9565 kbps,812 kbps,10.5 dB,2,0
19/10 18:07:13,up,9565 kbps,812 kbps,10.6 dB,2,0
19/10 18:07:19,up,9565 kbps,812 kbps,10.6 dB,4,0
19/10 18:07:24,up,9565 kbps,812 kbps,10.6 dB,78,0
19/10 18:07:30,up,9565 kbps,812 kbps,10.6 dB,78,0
19/10 18:07:36,up,9565 kbps,812 kbps,10.5 dB,78,0
19/10 18:07:41,up,9565 kbps,812 kbps,10.7 dB,78,0
19/10 18:07:47,up,9565 kbps,812 kbps,10.6 dB,78,0
19/10 18:07:52,up,9565 kbps,812 kbps,10.7 dB,78,0
19/10 18:07:58,up,9565 kbps,812 kbps,10.7 dB,78,0
19/10 18:08:04,up,9565 kbps,812 kbps,10.6 dB,132,1
19/10 18:08:09,up,9565 kbps,812 kbps,9.4 dB,158,1
19/10 18:08:15,up,9565 kbps,812 kbps,9.8 dB,250,1
19/10 18:08:20,up,9565 kbps,812 kbps,9.8 dB,312,1
19/10 18:08:26,up,9565 kbps,812 kbps,9.6 dB,406,1
19/10 18:08:32,up,9565 kbps,812 kbps,9.7 dB,416,1
19/10 18:08:37,up,9565 kbps,812 kbps,9.5 dB,456,1
19/10 18:08:43,up,9565 kbps,812 kbps,9.4 dB,550,1
19/10 18:08:48,up,9565 kbps,812 kbps,8.7 dB,951,1
19/10 18:08:54,up,9565 kbps,812 kbps,4.4 dB,13820,180
19/10 18:09:00,up,9565 kbps,812 kbps,8.0 dB,19685,214
19/10 18:09:05,up,9565 kbps,812 kbps,8.6 dB,20557,214
19/10 18:09:11,up,9565 kbps,812 kbps,7.5 dB,22840,214
19/10 18:09:16,up,9565 kbps,812 kbps,5.0 dB,37499,260
19/10 18:09:22,up,9565 kbps,812 kbps,8.1 dB,46297,266
19/10 18:09:28,up,9565 kbps,812 kbps,8.1 dB,48292,266
19/10 18:09:33,up,9565 kbps,812 kbps,7.8 dB,55499,268
19/10 18:09:39,up,9565 kbps,812 kbps,8.5 dB,56000,268
19/10 18:09:44,up,9565 kbps,812 kbps,8.5 dB,58625,268
19/10 18:09:50,up,9565 kbps,812 kbps,8.6 dB,59327,268
19/10 18:09:56,up,9565 kbps,812 kbps,8.5 dB,59951,268
19/10 18:10:01,up,9565 kbps,812 kbps,8.6 dB,60365,268
19/10 18:10:07,up,9565 kbps,812 kbps,8.5 dB,60558,268
19/10 18:10:12,up,9565 kbps,812 kbps,8.5 dB,61035,268
19/10 18:10:18,up,9565 kbps,812 kbps,8.4 dB,61688,268
19/10 18:10:24,up,9565 kbps,812 kbps,8.3 dB,63692,268
19/10 18:10:29,up,9565 kbps,812 kbps,8.0 dB,83,268
19/10 18:10:35,up,9565 kbps,812 kbps,7.5 dB,6741,273
19/10 18:10:40,up,9565 kbps,812 kbps,7.5 dB,14085,293
19/10 18:10:46,up,9565 kbps,812 kbps,8.5 dB,14813,293
19/10 18:10:52,up,9565 kbps,812 kbps,8.1 dB,15946,293
19/10 18:10:57,up,9565 kbps,812 kbps,7.1 dB,31576,304
19/10 18:11:03,up,9565 kbps,812 kbps,6.8 dB,49904,319
19/10 18:11:08,up,9565 kbps,812 kbps,6.4 dB,63751,323
19/10 18:11:14,up,9565 kbps,812 kbps,7.3 dB,11540,333
19/10 18:11:20,up,9565 kbps,812 kbps,8.0 dB,17839,333
19/10 18:11:25,up,9565 kbps,812 kbps,7.6 dB,22356,333
19/10 18:11:31,up,9565 kbps,812 kbps,7.9 dB,29579,335
19/10 18:11:36,up,9565 kbps,812 kbps,8.1 dB,39585,336
19/10 18:11:42,up,9565 kbps,812 kbps,8.1 dB,41527,336
19/10 18:11:48,up,9565 kbps,812 kbps,8.1 dB,43146,336
19/10 18:11:53,up,9565 kbps,812 kbps,8.2 dB,44031,336
19/10 18:11:59,up,9565 kbps,812 kbps,7.0 dB,52263,341
19/10 18:12:04,up,9565 kbps,812 kbps,7.3 dB,1745,351
19/10 18:12:10,up,9565 kbps,812 kbps,7.4 dB,11100,351
19/10 18:12:16,up,9565 kbps,812 kbps,7.8 dB,16404,351
19/10 18:12:21,up,9565 kbps,812 kbps,7.8 dB,19130,351
19/10 18:12:27,up,9565 kbps,812 kbps,7.9 dB,20902,351
19/10 18:12:32,up,9565 kbps,812 kbps,7.9 dB,22396,351
