time,status,down rate,up rate,down SNR mrg,FEC,CRC
19/10 12:47:55,wait for init,,,,,
19/10 12:48:01,initializing,,,,,
19/10 12:48:06,initializing,,,,,
19/10 12:48:12,down,,,,,
19/10 12:48:18,down,,,,,
19/10 12:48:23,down,,,,,
19/10 12:48:29,wait for init,,,,,
19/10 12:48:34,initializing,,,,,
19/10 12:48:40,initializing,,,,,
19/10 12:48:45,up,9526 kbps,812 kbps,12.0 dB,0,0
19/10 12:48:51,up,9526 kbps,812 kbps,12.3 dB,18,0
19/10 12:48:57,up,9526 kbps,812 kbps,12.1 dB,18,0
19/10 12:49:02,up,9526 kbps,812 kbps,12.2 dB,18,0
19/10 12:49:08,up,9526 kbps,812 kbps,12.2 dB,18,0
19/10 12:49:13,up,9526 kbps,812 kbps,11.9 dB,18,0
19/10 12:49:19,up,9526 kbps,812 kbps,12.0 dB,18,0
19/10 12:49:25,up,9526 kbps,812 kbps,11.9 dB,18,0
19/10 12:49:30,up,9526 kbps,812 kbps,11.3 dB,616,0
19/10 12:49:36,up,9526 kbps,812 kbps,11.9 dB,2039,0
19/10 12:49:41,up,9526 kbps,812 kbps,11.9 dB,2077,0
19/10 12:49:47,up,9526 kbps,812 kbps,11.8 dB,2077,0
19/10 12:49:52,up,9526 kbps,812 kbps,11.8 dB,2077,0
19/10 12:49:58,up,9526 kbps,812 kbps,11.6 dB,2077,0
19/10 12:50:04,up,9526 kbps,812 kbps,11.8 dB,2077,0
19/10 12:50:09,up,9526 kbps,812 kbps,11.9 dB,2077,0
19/10 12:50:15,up,9526 kbps,812 kbps,11.7 dB,2077,0
19/10 12:50:20,up,9526 kbps,812 kbps,11.6 dB,2077,0
19/10 12:50:26,up,9526 kbps,812 kbps,11.4 dB,2077,0
19/10 12:50:31,up,9526 kbps,812 kbps,11.6 dB,2077,0
19/10 12:50:37,up,9526 kbps,812 kbps,11.3 dB,2077,0
19/10 12:50:43,up,9526 kbps,812 kbps,11.4 dB,2077,0
19/10 12:50:48,up,9526 kbps,812 kbps,11.0 dB,2077,0
19/10 12:50:54,up,9526 kbps,812 kbps,11.3 dB,2077,0
19/10 12:50:59,up,9526 kbps,812 kbps,11.3 dB,2337,32
19/10 12:51:05,down,,,,,
19/10 12:51:11,down,,,,,
19/10 12:51:16,down,,,,,
19/10 12:51:22,wait for init,,,,,
19/10 12:51:27,initializing,,,,,
19/10 12:51:33,initializing,,,,,
19/10 12:51:38,initializing,,,,,
19/10 12:51:44,down,,,,,
19/10 12:51:50,down,,,,,
19/10 12:51:55,wait for init,,,,,
19/10 12:52:01,initializing,,,,,
19/10 12:52:06,initializing,,,,,
19/10 12:52:12,initializing,,,,,
19/10 12:52:18,up,9557 kbps,812 kbps,12.3 dB,0,0
19/10 12:52:23,up,9557 kbps,812 kbps,12.2 dB,0,0
19/10 12:52:29,up,9557 kbps,812 kbps,12.2 dB,0,0
19/10 12:52:34,up,9557 kbps,812 kbps,12.2 dB,0,0
19/10 12:52:40,up,9557 kbps,812 kbps,12.0 dB,0,0
19/10 12:52:46,up,9557 kbps,812 kbps,11.9 dB,26,0
19/10 12:52:51,up,9557 kbps,812 kbps,11.9 dB,26,0
19/10 12:52:57,up,9557 kbps,812 kbps,11.9 dB,26,0
19/10 12:53:02,up,9557 kbps,812 kbps,11.9 dB,26,0
19/10 12:53:08,up,9557 kbps,812 kbps,11.7 dB,26,0
19/10 12:53:13,up,9557 kbps,812 kbps,11.9 dB,26,0
19/10 12:53:19,up,9557 kbps,812 kbps,11.8 dB,26,0
19/10 12:53:25,up,9557 kbps,812 kbps,11.8 dB,26,0
19/10 12:53:30,up,9557 kbps,812 kbps,11.8 dB,26,0
19/10 12:53:36,up,9557 kbps,812 kbps,11.8 dB,26,0
19/10 12:53:41,up,9557 kbps,812 kbps,11.5 dB,26,0
19/10 12:53:47,up,9557 kbps,812 kbps,11.7 dB,26,0
19/10 12:53:53,up,9557 kbps,812 kbps,11.6 dB,26,0
19/10 12:53:58,up,9557 kbps,812 kbps,11.6 dB,26,0
19/10 12:54:04,up,9557 kbps,812 kbps,11.6 dB,73,0
19/10 12:54:09,up,9557 kbps,812 kbps,11.6 dB,73,0
19/10 12:54:15,up,9557 kbps,812 kbps,11.6 dB,73,0
19/10 12:54:20,up,9557 kbps,812 kbps,11.5 dB,73,0
19/10 12:54:26,up,9557 kbps,812 kbps,11.4 dB,73,0
19/10 12:54:32,up,9557 kbps,812 kbps,11.4 dB,73,0
19/10 12:54:37,up,9557 kbps,812 kbps,11.4 dB,73,0
19/10 12:54:43,up,9557 kbps,812 kbps,11.4 dB,73,0
19/10 12:54:48,up,9557 kbps,812 kbps,11.4 dB,73,0
19/10 12:54:54,up,9557 kbps,812 kbps,11.4 dB,73,0
19/10 12:55:00,up,9557 kbps,812 kbps,11.4 dB,73,0
19/10 12:55:05,up,9557 kbps,812 kbps,11.3 dB,73,0
19/10 12:55:11,up,9557 kbps,812 kbps,11.4 dB,73,0
19/10 12:55:16,up,9557 kbps,812 kbps,11.3 dB,73,0
19/10 12:55:22,up,9557 kbps,812 kbps,11.4 dB,73,0
19/10 12:55:27,up,9557 kbps,812 kbps,11.3 dB,73,0
19/10 12:55:33,up,9557 kbps,812 kbps,11.3 dB,73,0
